,Feature name,Coefficients,P Values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Max_Difference,Score - Final
0,Intercept,-1.3740431442266225,,Intercept,312.6909297512933,313.0,0.3090702487066892,0.0,313.0
1,grade:A,1.12365922688864,3.23009756655029e-35,grade,86.6923972614943,87.0,0.3076027385056932,0.3076027385056932,87.0
2,grade:B,0.8789199829624689,4.2770946260368937e-47,grade,67.81030983479789,68.0,0.18969016520210857,0.0,68.0
3,grade:C,0.6847977211191832,6.710539778200264e-34,grade,52.83341662882437,53.0,0.1665833711756335,0.0,53.0
4,grade:D,0.496922854542367,1.3470118017283448e-20,grade,38.3385215761433,38.0,-0.33852157614330025,0.0,38.0
5,grade:E,0.3214921969502743,1.0254289898868738e-11,grade,24.803720369615124,25.0,0.1962796303848755,0.0,25.0
6,grade:F,0.13428248689140113,0.006242374571984763,grade,10.36014337824189,10.0,-0.36014337824189013,0.0,10.0
7,home_ownership:OWN,0.09351370446345132,3.4627664549343644e-06,home_ownership,7.21475606015108,7.0,-0.21475606015108006,0.0,7.0
8,home_ownership:MORTGAGE,0.10624946387393186,4.419206328659138e-17,home_ownership,8.197343563390275,8.0,-0.19734356339027492,-0.19734356339027492,8.0
9,addr_state:NM_VA,0.03601887112626008,0.2608489592371799,addr_state,2.7789228352038142,3.0,0.22107716479618578,0.0,3.0
10,addr_state:NY,0.055556321976168145,0.021830372985885672,addr_state,4.286273471434568,4.0,-0.28627347143456827,0.0,4.0
11,addr_state:OK_TN_MO_LA_MD_NC,0.05799620790655298,0.012258073792468682,addr_state,4.474515204593597,4.0,-0.4745152045935974,0.0,4.0
12,addr_state:CA,0.06215110809564334,0.0033750996901719473,addr_state,4.7950734745344334,5.0,0.20492652546556656,0.0,5.0
13,addr_state:UT_KY_AZ_NJ,0.07645962742043934,0.0021485639820249926,addr_state,5.899002327558408,6.0,0.10099767244159175,0.0,6.0
14,addr_state:AR_MI_PA_OH_MN,0.13344143991720434,3.149629357131636e-09,addr_state,10.29525504140641,10.0,-0.2952550414064099,0.0,10.0
15,addr_state:RI_MA_DE_SD_IN,0.09789463346744856,0.001033182635814012,addr_state,7.552752873153329,8.0,0.4472471268466709,0.0,8.0
16,addr_state:GA_WA_OR,0.18376201807625137,5.5737525282936115e-12,addr_state,14.177581148647564,14.0,-0.17758114864756358,0.0,14.0
17,addr_state:WI_MT,0.23791544518220448,5.626359915890074e-07,addr_state,18.355618674081352,18.0,-0.3556186740813523,0.0,18.0
18,addr_state:TX,0.2209597525774926,1.836456204072849e-17,addr_state,17.047455483714796,17.0,-0.04745548371479558,0.0,17.0
19,addr_state:IL_CT,0.2599006911825082,5.675590812407315e-19,addr_state,20.051821254491344,20.0,-0.05182125449134389,0.0,20.0
20,addr_state:KS_SC_CO_VT_AK_MS,0.3185645751524204,5.118547919708003e-25,addr_state,24.577848908003293,25.0,0.42215109199670664,0.0,25.0
21,addr_state:WV_NH_WY_DC_ME_ID,0.5219647056223374,1.0716899516154305e-22,addr_state,40.270546918024934,40.0,-0.2705469180249338,-0.2705469180249338,40.0
22,verification_status:Not Verified,0.08571970436925351,4.375860932505052e-09,verification_status,6.613434470603644,7.0,0.38656552939635613,0.38656552939635613,6.0
23,verification_status:Source Verified,-0.011184187178411381,0.4049887113184252,verification_status,-0.8628808225092257,-1.0,-0.1371191774907743,0.0,-1.0
24,purpose:credit_card,0.3018549513298365,1.2551350007358799e-26,purpose,23.288670381406153,23.0,-0.28867038140615264,-0.28867038140615264,23.0
25,purpose:debt_consolidation,0.19808531926557565,2.5034412467228082e-14,purpose,15.28265044998655,15.0,-0.28265044998654965,0.0,15.0
